97	Zum Lernen sollte man nicht gezwungen werden. Zum Lernen sollte man ermutigt werden.	Tau 't leeren sul man näit dwungen worden. Tau 't leeren sul man anmaudiğt worden.
131	Beeil dich!	Móók tau!
149	Es würde ewig dauern, alles zu erklären.	Dat dee äiwiğ düren, âals t' ferkloren.
168	Um das zu tun, musst du Risiken eingehen.	Um dat t' daun, maust duu risikos ingóón.
209	Es hat mir fast Angst gemacht, dich einen ganzen Tag nicht online zu sehen.	Dat het mii hóóst bâang móókt, dii 'n häiel dağ näit online t' säin.
291	Musst du wirklich die Frage stellen, um die Antwort zu erfahren?	Maust duu wies däi fróóeğ stellen, um dat antern t' erforen?
298	Das würde zu lange dauern, dir zu erklären, warum das nicht funktionieren wird.	Dat dee t' lâang düren, dii t' ferkloren, woosoo dat näit funksjoonäären sal.
301	Du könntest zumindest versuchen, ein bisschen höflicher zu sein, auch wenn das nicht in deiner Natur liegt.	Duu kust t'minst fersöyken, 'n biitje hoffelker t' weesen, ook doo dat näit in diin natüer liğt.
308	„Wann wirst du zurückkommen?“ – „Das hängt ganz vom Wetter ab.“	"Wenner sast duu uemkoomen?" - "Dat hangt häil fan 't wêer of."
318	Ihre Kommunikation ist vielleicht viel komplexer als wir dachten.	Höör kummunikóósjoon is fiilicht fööl kumplekser as wii dochent.
327	Du entscheidest, ob wir dahin gehen oder nicht.	Duu undskedst, of wii d'r hen góónt of näit.
348	Ich kam vor drei Jahren nach Tokyo und seither habe ich hier gelebt.	Ik kwam fööer drei joer nóó Tokyo un siitdeem heb ik hir leevt.
354	Demokratie ist die schlechteste Regierungsform, abgesehen von allen anderen, die ausprobiert wurden.	Demokróótii is däi släechst regäärensföörm, buuten âal annernt, däi uutprobäärt wurdent.
355	Wenn man beginnt, seinem Passfoto ähnlich zu sehen, sollte man in den Urlaub fahren.	Doo man begünt, siin pasfooto eenelk t' säin, sul man in d' uurlaaub foren.
385	Antworten sind nur dann nützlich, wenn sie neue Fragen aufwerfen.	Anterns bünt bloot dan nütselk, doo säi näej fróógen upsmiitent.
386	An sich selbst zu zweifeln, ist das erste Zeichen von Intelligenz.	An sük sülst t' twiiveln, is dat êerst täiken fan intelligens.
390	Das wird eine gute Erinnerung an meine Reise durch die Vereinigten Staaten sein.	Dat sal 'n gaud heerinnern an miin râajs döör d' Feräint Stóóten weesen.
401	Es ist mir unmöglich, es dir zu erklären.	Dat is mii unmöögelk dii dat tau ferkloren.
407	Das ist ziemlich unerwartet.	Dat is recht unferwacht't.
421	Ich habe über zwei Stunden gebraucht, um einige Seiten Englisch zu übersetzen.	Ik heb oover twei stüen bruukt, um wat siiden Engelsk t' ooversetten.
488	Wenn du dich nicht mit Sonnencreme eincremen willst, ist das deine Sache. Aber beschwer' dich später nicht bei mir, wenn du Sonnenbrand hast.	Doo duu dii näit mit sünnenkrêem insmeeren wult, is dat diin sóóek. Man beklóóğ dii nóóderhand näit bii mii doo duu sünnenbrand hest.
492	Es ist so heiß, dass man Eier auf den Motorhauben der Autos braten könnte.	Dat is soo häit, dat man aier up däi motoordeksels fan d' aautos bróóden kun.
530	"Wenn du müde bist, wieso gehst du nicht schlafen?" "Weil ich zu früh aufwachen werde, wenn ich jetzt schlafen gehe."	"Doo duu möej büst, woosoo gaajst duu näit slóópen?" "Um dat ik t' frau upwóóken sal, doo 'k nuu slóópen góó."
546	Was die Welt verändert, ist Kommunikation, nicht Information.	Wat däi weerld ferannert, is kummunikóósjoon, näit inf'rmóósjoon.
622	Das ist die reine Wahrheit.	Dat is däi skier worhaid.
674	Ich hatte vor, heute an den Strand zu gehen, aber dann fing es an zu regnen.	Ik haar fööer, fandóóeğ an d' strand t' góón, man dan fung 't an t' reegen.
684	Wenn zwei Menschen immer die gleiche Meinung haben, ist einer von ihnen überflüssig.	Doo twei minsken altiid dat sülviğ mäinen hebbent, is äien fan höör ooverflaudiğ.
694	Ich habe während der Mittagspause ein wenig geschlafen, weil ich so müde war.	Ik heb in d' middóóğspâaus 'n biitje slóópen, um dat ik soo möej was.
701	Wie oft am Tag schaust du dich im Spiegel an?	Woo fóók up d' dağ kikst duu dii in d' späigel an?
742	Wenn ich Migräne habe, vermindert Aspirin meine Beschwerden nicht.	Doo ik migrêen heb, ferminnert aspiriin miin besweerden näit.
801	Der Mörder wurde schuldig gesprochen und zu lebenslänglicher Haft verurteilt.	Däi moorner wur skülliğ sprooken un tau leevendslâang haft feroordäilt.
889	Ich kann meine Handflächen auf den Boden setzen, ohne meine Knie zu beugen.	Ik kan miin palmen up d' grund setten, sünner miin knäjen t' buugen.
926	Kannst du dir vorstellen, wie unser Leben ohne Elektrizität aussehen würde?	Kaast duu dii föörstellen, woo us leevend sünner elektrisitäit lóóten dee?
991	Wenn du mir das Tanzen beibringst, werde ich dir meine versteckten Narben zeigen.	Doo duu mii dat dansen biibrengst, sal ik dii miin ferstopt noren wiisen.
1004	Es gibt viele Dinge über meine Persönlichkeit, die du nicht weißt.	Dat gift fööl dingen oover miin persöönelkkaid, däi duu näit wäist.
1020	Man muss nicht für jede Person ein anderes Gericht vorbereiten.	Man maut näit föör elker persoon 'n anner gericht föörberäiden.
1108	Nur die, die riskieren, zu weit zu gehen, werden erfahren, wie weit man gehen kann.	Bloot däient, däi riskäärent, t' wiid t' góón, söölent gewoer worden, woo wiid man góón kan.
1114	Das Problem mit vielen Dingen sind die vorgefassten Ideen, die wir über sie haben!	Dat probleem mit fööl dingen bünt däi föörfóóten ideen, däi wii oover höör hebbent!
1118	Wenn wir wüssten, was wir tun, würde man es nicht Forschung nennen, oder?	Doo wii wussent, wat wii daunt, dee man 't näit föörskern nöymen, of näit?
1119	Für den, der nur einen Hammer im Werkzeugkasten hat, sieht jedes Problem wie ein Nagel aus.	Föör däien, däi bloot 'n hóómer in d' reevbâak het, let't elker probleem as 'n spiiker.
1175	Man kann nicht das Unmögliche vollbringen, ohne das Absurde zu versuchen.	Man kan näit dat unmöögelk fulbrengen, sünner dat absuerd t' fersöyken.
1222	Mali ist eines der ärmsten Länder Afrikas südlich der Saharawüste.	Móóli is äien fan däi âarmst lâan fan Óófrikó süüdelk fan 't Saharówöysten.
1275	Wir werden heute Abend viel essen, ich hoffe also, dass du nicht auf Diät bist.	Wii söölent fanóóvend fööl eeten, ik hoop alsoo, dat duu näit up dieet büst.
6101	Als ich klein war, verbrachte ich Stunden damit, alleine in meinem Zimmer zu lesen.	Doo ik lütjet was, ferbroch ik stünnen d'r mit, alleniğ in miin kóómer t' leesen.
6122	Ich werde mich auf die Bank dort drüben neben der Straßenlaterne setzen.	Ik sal mii up däi bâank dor günt teegen d' stróótenlatêern setten.
6172	Es ist möglich, bei fallenden Kursen Gewinne zu erwirtschaften.	Dat is möögelk bii dóólend koorsen winsten t' erwirtskaften.
6193	Mehr als ein Drittel der Weltbevölkerung lebt in der Nähe einer Küste.	Meer as 'n daardel fan 't weerldbefolken leevt in d' nóóet fan 'n küest.
